TMO_AN,TMO_VS,Mod_AN,Mod_MF,Support_AN,[NO3−],pH,potential,Mod_Method,Support_porous foam,Support_mesh,Support_fiber,Support_sheet,Morphology_particle,Morphology_sphere,Morphology_wire,Morphology_rod,Morphology_tube,Morphology_belt,Morphology_sheet,Faradaic efficiency
22,4,22,0,6,0.1,7.4,-1.2,1,0,0,1,0,1,0,0,0,0,0,0,0.5017
22,4,27,0.0021,6,0.4,7.4,-0.72,0,0,0,1,0,0,0,0,0,0,0,1,0.816
22,4,26,0.0453,6,0.4,7.4,-1.12,0,0,0,1,0,0,0,0,0,0,0,1,0.532
22,4,27,0.1722,22,0.1,13,-0.2,1,0,0,0,1,0,0,0,0,0,1,0,0.8719
26,3,26,0,6,0.1,7.4,-1.2,1,0,0,1,0,1,0,0,0,0,0,0,0.339
26,3,26,0,6,0.1,7,-1,1,0,0,1,0,0,0,0,1,0,0,0,0.1993
26,3,26,0,6,0.05,14,-0.5,1,0,0,1,0,0,0,0,0,0,0,1,0.871
26,2.67,26,0,28,0.0144,7,-0.69,1,1,0,0,0,0,0,0,0,0,0,1,0.7771
26,2.67,26,0,6,0.01,13,-1.1,1,0,0,1,0,1,0,0,0,0,0,0,0.6476
26,2.67,29,0.061,6,0.1,13,-0.3,1,0,0,1,0,0,0,0,0,0,0,1,0.6157
27,2.67,27,0,6,0.1,13,-0.6,1,0,0,1,0,0,0,1,0,0,0,0,0.8778
27,2.67,47,0,6,0.0144,7,-0.35,1,0,0,1,0,0,0,1,0,0,0,0,0.7839
27,2.67,27,0,27,0.005,7,-0.4,1,1,0,0,0,0,0,0,0,1,0,0,0.8996
27,2.67,27,0,6,0.1,7,-1.2,1,0,0,1,0,0,0,1,0,0,0,0,0.8549
27,2.67,47,0.0016,6,0.0144,7,-0.65,0,0,0,1,0,0,0,1,0,0,0,0,0.8856
27,2.67,29,0.073,6,0.5,14,-0.3,1,0,0,1,0,0,1,0,0,0,0,0,0.9487
27,2.67,26,0.0645,6,0.1,13,-1,1,1,0,0,0,0,0,1,0,0,0,0,0.8197
29,2,29,0,6,0.4,14,-1,1,0,0,1,0,0,1,0,0,0,0,0,0.5152
29,1,29,0,29,1,12,-0.4,1,1,0,0,0,0,0,1,0,0,0,0,0.4871
29,1,29,0,29,3,14,0,1,1,0,0,0,0,0,1,0,0,0,0,0.1114
29,1,29,0,6,0.0036,14,-0.376,1,0,0,1,0,0,1,0,0,0,0,0,0.4697
29,2,29,0,29,0.0144,7,-0.645,1,1,0,0,0,0,0,1,0,0,0,0,0.8311
29,1,28,0.0255,29,0.1,14,0,1,0,1,0,0,0,0,1,0,0,0,0,0.8775
29,1,44,0.01,29,0.1,14,0,0,1,0,0,0,0,0,1,0,0,0,0,0.997
29,1,44,0.04,29,1,14,-0.4,0,1,0,0,0,0,0,1,0,0,0,0,0.6523
29,2,27,0.0198,29,0.0072,7.4,-0.43,1,1,0,0,0,0,0,0,0,0,0,1,0.8342
30,2,29,0.3345,26,0.001,13,-0.6,0,0,1,0,0,0,0,1,0,0,0,0,0.3779
23,5,23,0,6,0.1,1,-0.7,1,0,0,1,0,0,0,0,0,0,1,0,0.3543
23,5,26,0.046,6,0.01,14,-0.7,1,0,0,1,0,0,0,0,0,0,1,0,0.4669
23,5,26,0.118,6,0.1,14,-0.7,1,0,0,1,0,0,0,0,0,0,1,0,0.754
30,2,29,0.3345,29,0.05,13,-0.6,0,0,1,0,0,0,0,1,0,0,0,0,0.7809
29,2,29,0,26,0.1,14,-0.3,1,0,1,0,0,1,0,0,0,0,0,0,0.6512
29,2,29,0,26,0.1,14,-0.3,1,0,1,0,0,1,0,0,0,0,0,0,0.6512
