TMO_AN,TMO_VS,TMO_EN,TMO_BG,TMO_CB,TMO_VB,Dop_AN,Dop_EN,Dop_AR,Dop_MF,FE
22,4,1.54,3.2,-0.29,2.91,26,1.83,1.26,0.01,0.6149
22,4,1.54,3.2,-0.29,2.91,26,1.83,1.26,0.015,0.6553
22,4,1.54,3.2,-0.29,2.91,26,1.83,1.26,0.02,0.6845
22,4,1.54,3.2,-0.29,2.91,26,1.83,1.26,0.025,0.7099
22,4,1.54,3.2,-0.29,2.91,26,1.83,1.26,0.03,0.7323
22,4,1.54,3.2,-0.29,2.91,26,1.83,1.26,0.035,0.7505
22,4,1.54,3.2,-0.29,2.91,26,1.83,1.26,0.04,0.7651
22,4,1.54,3.2,-0.29,2.91,26,1.83,1.26,0.045,0.7779
22,4,1.54,3.2,-0.29,2.91,26,1.83,1.26,0.05,0.7883
22,4,1.54,3.2,-0.29,2.91,26,1.83,1.26,0.055,0.796
22,4,1.54,3.2,-0.29,2.91,26,1.83,1.26,0.06,0.8021
22,4,1.54,3.2,-0.29,2.91,26,1.83,1.26,0.065,0.8068
22,4,1.54,3.2,-0.29,2.91,26,1.83,1.26,0.07,0.8104
22,4,1.54,3.2,-0.29,2.91,26,1.83,1.26,0.075,0.8131
22,4,1.54,3.2,-0.29,2.91,26,1.83,1.26,0.08,0.8155
22,4,1.54,3.2,-0.29,2.91,26,1.83,1.26,0.085,0.8177
22,4,1.54,3.2,-0.29,2.91,26,1.83,1.26,0.09,0.8196
22,4,1.54,3.2,-0.29,2.91,26,1.83,1.26,0.095,0.8214
22,4,1.54,3.2,-0.29,2.91,26,1.83,1.26,0.1,0.8228
22,4,1.54,3.2,-0.29,2.91,27,1.88,1.25,0.01,0.6234
22,4,1.54,3.2,-0.29,2.91,27,1.88,1.25,0.015,0.6621
22,4,1.54,3.2,-0.29,2.91,27,1.88,1.25,0.02,0.6941
22,4,1.54,3.2,-0.29,2.91,27,1.88,1.25,0.025,0.7206
22,4,1.54,3.2,-0.29,2.91,27,1.88,1.25,0.03,0.7428
22,4,1.54,3.2,-0.29,2.91,27,1.88,1.25,0.035,0.7612
22,4,1.54,3.2,-0.29,2.91,27,1.88,1.25,0.04,0.7754
22,4,1.54,3.2,-0.29,2.91,27,1.88,1.25,0.045,0.7874
22,4,1.54,3.2,-0.29,2.91,27,1.88,1.25,0.05,0.7969
22,4,1.54,3.2,-0.29,2.91,27,1.88,1.25,0.055,0.8042
22,4,1.54,3.2,-0.29,2.91,27,1.88,1.25,0.06,0.8096
22,4,1.54,3.2,-0.29,2.91,27,1.88,1.25,0.065,0.8141
22,4,1.54,3.2,-0.29,2.91,27,1.88,1.25,0.07,0.8178
22,4,1.54,3.2,-0.29,2.91,27,1.88,1.25,0.075,0.8207
22,4,1.54,3.2,-0.29,2.91,27,1.88,1.25,0.08,0.8229
22,4,1.54,3.2,-0.29,2.91,27,1.88,1.25,0.085,0.8249
22,4,1.54,3.2,-0.29,2.91,27,1.88,1.25,0.09,0.8269
22,4,1.54,3.2,-0.29,2.91,27,1.88,1.25,0.095,0.8288
22,4,1.54,3.2,-0.29,2.91,27,1.88,1.25,0.1,0.8306
22,4,1.54,3.2,-0.29,2.91,28,1.91,1.24,0.01,0.6313
22,4,1.54,3.2,-0.29,2.91,28,1.91,1.24,0.015,0.6708
22,4,1.54,3.2,-0.29,2.91,28,1.91,1.24,0.02,0.7033
22,4,1.54,3.2,-0.29,2.91,28,1.91,1.24,0.025,0.7299
22,4,1.54,3.2,-0.29,2.91,28,1.91,1.24,0.03,0.7518
22,4,1.54,3.2,-0.29,2.91,28,1.91,1.24,0.035,0.7703
22,4,1.54,3.2,-0.29,2.91,28,1.91,1.24,0.04,0.784
22,4,1.54,3.2,-0.29,2.91,28,1.91,1.24,0.045,0.7943
22,4,1.54,3.2,-0.29,2.91,28,1.91,1.24,0.05,0.8032
22,4,1.54,3.2,-0.29,2.91,28,1.91,1.24,0.055,0.8101
22,4,1.54,3.2,-0.29,2.91,28,1.91,1.24,0.06,0.8152
22,4,1.54,3.2,-0.29,2.91,28,1.91,1.24,0.065,0.8196
22,4,1.54,3.2,-0.29,2.91,28,1.91,1.24,0.07,0.8236
22,4,1.54,3.2,-0.29,2.91,28,1.91,1.24,0.075,0.8272
22,4,1.54,3.2,-0.29,2.91,28,1.91,1.24,0.08,0.8298
22,4,1.54,3.2,-0.29,2.91,28,1.91,1.24,0.085,0.8319
22,4,1.54,3.2,-0.29,2.91,28,1.91,1.24,0.09,0.8337
22,4,1.54,3.2,-0.29,2.91,28,1.91,1.24,0.095,0.8354
22,4,1.54,3.2,-0.29,2.91,28,1.91,1.24,0.1,0.8369
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.01,0.6402
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.015,0.6798
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.02,0.7125
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.025,0.7389
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.03,0.7601
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.035,0.7764
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.04,0.7893
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.045,0.8
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.05,0.8083
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.055,0.815
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.06,0.82
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.065,0.8244
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.07,0.8282
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.075,0.8317
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.08,0.8348
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.085,0.8371
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.09,0.8389
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.095,0.8405
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.1,0.8419
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.01,0.6486
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.015,0.6888
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.02,0.7205
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.025,0.7465
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.03,0.7663
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.035,0.7815
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.04,0.7938
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.045,0.8044
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.05,0.8128
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.055,0.8194
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.06,0.8243
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.065,0.8286
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.07,0.8322
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.075,0.8355
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.08,0.8385
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.085,0.8409
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.09,0.8428
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.095,0.8444
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.1,0.8458
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.01,0.7072
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.015,0.7412
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.02,0.7659
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.025,0.7856
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.03,0.7993
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.035,0.81
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.04,0.8191
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.045,0.8278
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.05,0.8361
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.055,0.8433
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.06,0.8492
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.065,0.8544
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.07,0.8581
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.075,0.8612
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.08,0.8641
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.085,0.8665
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.09,0.8687
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.095,0.8706
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.1,0.8722
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.01,0.7114
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.015,0.7448
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.02,0.7693
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.025,0.7881
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.03,0.8016
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.035,0.8123
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.04,0.8217
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.045,0.8301
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.05,0.8383
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.055,0.8451
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.06,0.851
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.065,0.856
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.07,0.8598
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.075,0.8631
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.08,0.8661
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.085,0.8688
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.09,0.871
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.095,0.8729
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.1,0.8747
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.01,0.4858
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.015,0.525
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.02,0.5574
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.025,0.5874
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.03,0.6139
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.035,0.6372
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.04,0.6551
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.045,0.6695
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.05,0.6818
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.055,0.6928
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.06,0.7022
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.065,0.7093
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.07,0.7151
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.075,0.7197
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.08,0.7237
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.085,0.7272
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.09,0.7305
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.095,0.7334
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.1,0.7359
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.01,0.491
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.015,0.5302
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.02,0.565
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.025,0.5977
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.03,0.6251
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.035,0.6478
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.04,0.6663
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.045,0.6804
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.05,0.6919
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.055,0.7026
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.06,0.7114
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.065,0.7188
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.07,0.7244
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.075,0.7293
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.08,0.7334
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.085,0.7369
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.09,0.7399
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.095,0.7424
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.1,0.7446
